state,Retail and recreation,Grocery and pharmacy,Parks,Transit stations,Workplace,Residential,party
Alabama,-41,-13,19,-30,-32,9,republican
California,-50,-24,-38,-54,-39,15,democrat
Connecticut,-56,-32,-52,-64,-38,15,democrat
District of Columbia,-64,-30,-41,-68,-47,14,democrat
Georgia,-42,-17,-2,-52,-37,11,republican
Idaho,-42,-18,25,-34,-38,10,republican
Indiana,-48,-25,24,-34,-36,11,republican
Kansas,-36,-14,72,-20,-30,9,republican
Louisiana,-45,-16,-18,-49,-35,11,republican
Maryland,-45,-25,29,-51,-39,13,democrat
Michigan,-58,-28,15,-55,-43,12,republican
Mississippi,-32,-7,27,-29,-30,9,republican
Montana,-51,-25,28,-37,-37,10,republican
Nevada,-47,-23,-38,-62,-52,14,democrat
New Jersey,-59,-33,-36,-70,-44,16,democrat
New York,-62,-32,-47,-68,-46,16,democrat
North Dakota,-44,-13,73,-36,-24,9,republican
Oklahoma,-36,-12,29,-23,-32,9,republican
Pennsylvania,-50,-27,7,-52,-38,12,republican
South Carolina,-38,-11,-4,-34,-34,9,republican
Tennessee,-35,-9,35,-35,-34,8,republican
Utah,-41,-14,26,-44,-40,10,republican
Virginia,-39,-16,46,-50,-36,11,democrat
West Virginia,-38,-16,52,-31,-33,8,republican
Wyoming,-37,-13,29,-14,-29,8,republican
Alaska,-48,-27,18,-55,-33,10,republican
Colorado,-51,-27,-12,-60,-40,13,democrat
Delaware,-47,-28,-6,-57,-37,12,democrat
Florida,-50,-26,-48,-63,-41,13,republican
Hawaii,-56,-36,-65,-72,-45,16,democrat
Illinois,-53,-24,-29,-55,-39,13,democrat
Iowa,-43,-10,41,-28,-29,10,republican
Kentucky,-37,-11,68,-34,-34,9,republican
Maine,-50,-22,-24,-56,-31,10,democrat
Massachusetts,-59,-36,-56,-73,-42,16,democrat
Minnesota,-58,-35,-16,-64,-38,14,democrat
Missouri,-38,-12,73,-34,-32,9,republican
Nebraska,-34,-9,109,-18,-24,8,republican
New Hampshire,-58,-35,-63,-63,-38,13,democrat
New Mexico,-44,-18,-12,-31,-34,11,democrat
North Carolina,-40,-15,13,-51,-35,10,republican
Ohio,-43,-19,117,-33,-35,10,republican
Oregon,-51,-25,-22,-47,-38,12,democrat
Rhode Island,-55,-30,-50,-67,-37,14,democrat
South Dakota,-35,-3,126,-31,-25,8,republican
Texas,-45,-23,-27,-47,-36,13,republican
Vermont,-62,-42,-55,-71,-43,13,democrat
Washington,-48,-26,-11,-56,-41,13,democrat
Wisconsin,-55,-30,-12,-50,-34,13,republican
